,text
40,"Dee @DeeWaynee94·4hEurope isn’t “dying,” it’s evolving, fewer kids by choice, not collapse.
Low birth rate isn’t doom, it’s demographic transition.

You want more babies? Try affordable housing, work-life balance, and dignity, not panic-peddling like it’s 1930.54521K20K"
41,Akash Maniam@ManiamAkash·5hEurope needs to crush russian imperialism to have a peaceful future worth bringing kids into. Simple as that.1011024031K
42,Ada Lluch@ada_lluch·7hFive kids per couple should be the norm.1492544844K
43,"Brotherhood@DiggingInTheDi1·3hThe only known solution is not allowing women to work or pursue higher education

Neither you nor the mainstream masses are ready for that conversation yet26224297K"
44,"Junior 2nd@AbuSaeed1007·2hWanna fix the problem? 

Ban LGBT 

The status will change dramatically, you cannot have it both ways.26435.1K"
45,Xilonze@xilonze·7h73991.3K77K
46,"Alex@alex_avoigt·6hNo, it won't, in fact in 2024, the  European population saw even a slight increase, reaching an estimated 745 million, with a growth rate of around 0.4%

Also, it is well known and established fact in the science community that once people reach a certain standard of living,Show more791111131K"
47,Jon@JonIsTheFuture·6hThe jewish agenda is to get rid of white people71482K42K
48,"Dee @DeeWaynee94·4hEurope isn’t “dying,” it’s evolving, fewer kids by choice, not collapse.
Low birth rate isn’t doom, it’s demographic transition.

You want more babies? Try affordable housing, work-life balance, and dignity, not panic-peddling like it’s 1930.54521K20K"
49,Akash Maniam@ManiamAkash·5hEurope needs to crush russian imperialism to have a peaceful future worth bringing kids into. Simple as that.1011024031K
50,Ada Lluch@ada_lluch·7hFive kids per couple should be the norm.1492544844K
51,"Brotherhood@DiggingInTheDi1·3hThe only known solution is not allowing women to work or pursue higher education

Neither you nor the mainstream masses are ready for that conversation yet26224297K"
52,"Junior 2nd@AbuSaeed1007·2hWanna fix the problem? 

Ban LGBT 

The status will change dramatically, you cannot have it both ways.26435.1K"
53,"Alex@alex_avoigt·6hNo, it won't, in fact in 2024, the  European population saw even a slight increase, reaching an estimated 745 million, with a growth rate of around 0.4%

Also, it is well known and established fact in the science community that once people reach a certain standard of living,Show more791111131K"
54,Jon@JonIsTheFuture·6hThe jewish agenda is to get rid of white people71482K42K
55,"Dee @DeeWaynee94·4hEurope isn’t “dying,” it’s evolving, fewer kids by choice, not collapse.
Low birth rate isn’t doom, it’s demographic transition.

You want more babies? Try affordable housing, work-life balance, and dignity, not panic-peddling like it’s 1930.54521K20K"
56,Akash Maniam@ManiamAkash·5hEurope needs to crush russian imperialism to have a peaceful future worth bringing kids into. Simple as that.1011024031K
57,Ada Lluch@ada_lluch·7hFive kids per couple should be the norm.1492544844K
58,"Brotherhood@DiggingInTheDi1·3hThe only known solution is not allowing women to work or pursue higher education

Neither you nor the mainstream masses are ready for that conversation yet26224297K"
59,"Junior 2nd@AbuSaeed1007·2hWanna fix the problem? 

Ban LGBT 

The status will change dramatically, you cannot have it both ways.26435.1K"
60,Xilonze@xilonze·7h73991.3K77K
61,"Alex@alex_avoigt·6hNo, it won't, in fact in 2024, the  European population saw even a slight increase, reaching an estimated 745 million, with a growth rate of around 0.4%

Also, it is well known and established fact in the science community that once people reach a certain standard of living,Show more791111131K"
62,Jon@JonIsTheFuture·6hThe jewish agenda is to get rid of white people71482K42K
63,"Dee @DeeWaynee94·4hEurope isn’t “dying,” it’s evolving, fewer kids by choice, not collapse.
Low birth rate isn’t doom, it’s demographic transition.

You want more babies? Try affordable housing, work-life balance, and dignity, not panic-peddling like it’s 1930.54521K20K"
64,Akash Maniam@ManiamAkash·5hEurope needs to crush russian imperialism to have a peaceful future worth bringing kids into. Simple as that.1011024031K
65,Ada Lluch@ada_lluch·7hFive kids per couple should be the norm.1492544844K
66,"Brotherhood@DiggingInTheDi1·3hThe only known solution is not allowing women to work or pursue higher education

Neither you nor the mainstream masses are ready for that conversation yet26224297K"
67,"Junior 2nd@AbuSaeed1007·2hWanna fix the problem? 

Ban LGBT 

The status will change dramatically, you cannot have it both ways.26435.1K"
68,"Alex@alex_avoigt·6hNo, it won't, in fact in 2024, the  European population saw even a slight increase, reaching an estimated 745 million, with a growth rate of around 0.4%

Also, it is well known and established fact in the science community that once people reach a certain standard of living,Show more791111131K"
69,Jon@JonIsTheFuture·6hThe jewish agenda is to get rid of white people71482K42K
70,"Dee @DeeWaynee94·4hEurope isn’t “dying,” it’s evolving, fewer kids by choice, not collapse.
Low birth rate isn’t doom, it’s demographic transition.

You want more babies? Try affordable housing, work-life balance, and dignity, not panic-peddling like it’s 1930.54521K20K"
71,Akash Maniam@ManiamAkash·5hEurope needs to crush russian imperialism to have a peaceful future worth bringing kids into. Simple as that.1011024031K
72,Ada Lluch@ada_lluch·7hFive kids per couple should be the norm.1492544844K
73,"Brotherhood@DiggingInTheDi1·3hThe only known solution is not allowing women to work or pursue higher education

Neither you nor the mainstream masses are ready for that conversation yet26224297K"
74,"Junior 2nd@AbuSaeed1007·2hWanna fix the problem? 

Ban LGBT 

The status will change dramatically, you cannot have it both ways.26435.1K"
75,Xilonze@xilonze·7h73991.3K77K
76,"Alex@alex_avoigt·6hNo, it won't, in fact in 2024, the  European population saw even a slight increase, reaching an estimated 745 million, with a growth rate of around 0.4%

Also, it is well known and established fact in the science community that once people reach a certain standard of living,Show more791111131K"
77,Jon@JonIsTheFuture·6hThe jewish agenda is to get rid of white people71482K42K
78,"Dee @DeeWaynee94·4hEurope isn’t “dying,” it’s evolving, fewer kids by choice, not collapse.
Low birth rate isn’t doom, it’s demographic transition.

You want more babies? Try affordable housing, work-life balance, and dignity, not panic-peddling like it’s 1930.54521K20K"
79,Akash Maniam@ManiamAkash·5hEurope needs to crush russian imperialism to have a peaceful future worth bringing kids into. Simple as that.1011024031K
80,Ada Lluch@ada_lluch·7hFive kids per couple should be the norm.1492544844K
81,"Brotherhood@DiggingInTheDi1·3hThe only known solution is not allowing women to work or pursue higher education

Neither you nor the mainstream masses are ready for that conversation yet26224297K"
82,"Junior 2nd@AbuSaeed1007·2hWanna fix the problem? 

Ban LGBT 

The status will change dramatically, you cannot have it both ways.26435.1K"
83,"Alex@alex_avoigt·6hNo, it won't, in fact in 2024, the  European population saw even a slight increase, reaching an estimated 745 million, with a growth rate of around 0.4%

Also, it is well known and established fact in the science community that once people reach a certain standard of living,Show more791111131K"
84,Jon@JonIsTheFuture·6hThe jewish agenda is to get rid of white people71482K42K
85,"Dee @DeeWaynee94·4hEurope isn’t “dying,” it’s evolving, fewer kids by choice, not collapse.
Low birth rate isn’t doom, it’s demographic transition.

You want more babies? Try affordable housing, work-life balance, and dignity, not panic-peddling like it’s 1930.54521K20K"
86,Akash Maniam@ManiamAkash·5hEurope needs to crush russian imperialism to have a peaceful future worth bringing kids into. Simple as that.1011024031K
87,Ada Lluch@ada_lluch·7hFive kids per couple should be the norm.1492544844K
88,"Brotherhood@DiggingInTheDi1·3hThe only known solution is not allowing women to work or pursue higher education

Neither you nor the mainstream masses are ready for that conversation yet26224297K"
89,"Junior 2nd@AbuSaeed1007·2hWanna fix the problem? 

Ban LGBT 

The status will change dramatically, you cannot have it both ways.26435.1K"
90,Xilonze@xilonze·7h73991.3K77K
91,"Alex@alex_avoigt·6hNo, it won't, in fact in 2024, the  European population saw even a slight increase, reaching an estimated 745 million, with a growth rate of around 0.4%

Also, it is well known and established fact in the science community that once people reach a certain standard of living,Show more791111131K"
92,Jon@JonIsTheFuture·6hThe jewish agenda is to get rid of white people71482K42K
93,"Dee @DeeWaynee94·4hEurope isn’t “dying,” it’s evolving, fewer kids by choice, not collapse.
Low birth rate isn’t doom, it’s demographic transition.

You want more babies? Try affordable housing, work-life balance, and dignity, not panic-peddling like it’s 1930.54521K20K"
94,Akash Maniam@ManiamAkash·5hEurope needs to crush russian imperialism to have a peaceful future worth bringing kids into. Simple as that.1011024031K
95,Ada Lluch@ada_lluch·7hFive kids per couple should be the norm.1492544844K
96,"Brotherhood@DiggingInTheDi1·3hThe only known solution is not allowing women to work or pursue higher education

Neither you nor the mainstream masses are ready for that conversation yet26224297K"
97,"Junior 2nd@AbuSaeed1007·2hWanna fix the problem? 

Ban LGBT 

The status will change dramatically, you cannot have it both ways.26435.1K"
98,"Alex@alex_avoigt·6hNo, it won't, in fact in 2024, the  European population saw even a slight increase, reaching an estimated 745 million, with a growth rate of around 0.4%

Also, it is well known and established fact in the science community that once people reach a certain standard of living,Show more791111131K"
99,Jon@JonIsTheFuture·6hThe jewish agenda is to get rid of white people71482K42K
100,"Dee @DeeWaynee94·4hEurope isn’t “dying,” it’s evolving, fewer kids by choice, not collapse.
Low birth rate isn’t doom, it’s demographic transition.

You want more babies? Try affordable housing, work-life balance, and dignity, not panic-peddling like it’s 1930.54521K20K"
101,Akash Maniam@ManiamAkash·5hEurope needs to crush russian imperialism to have a peaceful future worth bringing kids into. Simple as that.1011024031K
102,Ada Lluch@ada_lluch·7hFive kids per couple should be the norm.1492544844K
103,"Brotherhood@DiggingInTheDi1·3hThe only known solution is not allowing women to work or pursue higher education

Neither you nor the mainstream masses are ready for that conversation yet26224297K"
104,"Junior 2nd@AbuSaeed1007·2hWanna fix the problem? 

Ban LGBT 

The status will change dramatically, you cannot have it both ways.26435.1K"
105,Xilonze@xilonze·7h73991.3K77K
106,"Alex@alex_avoigt·6hNo, it won't, in fact in 2024, the  European population saw even a slight increase, reaching an estimated 745 million, with a growth rate of around 0.4%

Also, it is well known and established fact in the science community that once people reach a certain standard of living,Show more791111131K"
107,Jon@JonIsTheFuture·6hThe jewish agenda is to get rid of white people71482K42K
108,"Dee @DeeWaynee94·4hEurope isn’t “dying,” it’s evolving, fewer kids by choice, not collapse.
Low birth rate isn’t doom, it’s demographic transition.

You want more babies? Try affordable housing, work-life balance, and dignity, not panic-peddling like it’s 1930.54521K20K"
109,Akash Maniam@ManiamAkash·5hEurope needs to crush russian imperialism to have a peaceful future worth bringing kids into. Simple as that.1011024031K
110,Ada Lluch@ada_lluch·7hFive kids per couple should be the norm.1492544844K
111,"Brotherhood@DiggingInTheDi1·3hThe only known solution is not allowing women to work or pursue higher education

Neither you nor the mainstream masses are ready for that conversation yet26224297K"
112,"Junior 2nd@AbuSaeed1007·2hWanna fix the problem? 

Ban LGBT 

The status will change dramatically, you cannot have it both ways.26435.1K"
113,"Alex@alex_avoigt·6hNo, it won't, in fact in 2024, the  European population saw even a slight increase, reaching an estimated 745 million, with a growth rate of around 0.4%

Also, it is well known and established fact in the science community that once people reach a certain standard of living,Show more791111131K"
114,Jon@JonIsTheFuture·6hThe jewish agenda is to get rid of white people71482K42K
115,"Dee @DeeWaynee94·4hEurope isn’t “dying,” it’s evolving, fewer kids by choice, not collapse.
Low birth rate isn’t doom, it’s demographic transition.

You want more babies? Try affordable housing, work-life balance, and dignity, not panic-peddling like it’s 1930.54521K20K"
116,Akash Maniam@ManiamAkash·5hEurope needs to crush russian imperialism to have a peaceful future worth bringing kids into. Simple as that.1011024031K
117,Ada Lluch@ada_lluch·7hFive kids per couple should be the norm.1492544844K
118,"Brotherhood@DiggingInTheDi1·3hThe only known solution is not allowing women to work or pursue higher education

Neither you nor the mainstream masses are ready for that conversation yet26224297K"
119,"Junior 2nd@AbuSaeed1007·2hWanna fix the problem? 

Ban LGBT 

The status will change dramatically, you cannot have it both ways.26435.1K"
120,Xilonze@xilonze·7h73991.3K77K
121,"Alex@alex_avoigt·6hNo, it won't, in fact in 2024, the  European population saw even a slight increase, reaching an estimated 745 million, with a growth rate of around 0.4%

Also, it is well known and established fact in the science community that once people reach a certain standard of living,Show more791111131K"
122,Jon@JonIsTheFuture·6hThe jewish agenda is to get rid of white people71482K42K
123,"Dee @DeeWaynee94·4hEurope isn’t “dying,” it’s evolving, fewer kids by choice, not collapse.
Low birth rate isn’t doom, it’s demographic transition.

You want more babies? Try affordable housing, work-life balance, and dignity, not panic-peddling like it’s 1930.54521K20K"
124,Akash Maniam@ManiamAkash·5hEurope needs to crush russian imperialism to have a peaceful future worth bringing kids into. Simple as that.1011024031K
125,Ada Lluch@ada_lluch·7hFive kids per couple should be the norm.1492544844K
126,"Brotherhood@DiggingInTheDi1·3hThe only known solution is not allowing women to work or pursue higher education

Neither you nor the mainstream masses are ready for that conversation yet26224297K"
127,"Junior 2nd@AbuSaeed1007·2hWanna fix the problem? 

Ban LGBT 

The status will change dramatically, you cannot have it both ways.26435.1K"
128,"Alex@alex_avoigt·6hNo, it won't, in fact in 2024, the  European population saw even a slight increase, reaching an estimated 745 million, with a growth rate of around 0.4%

Also, it is well known and established fact in the science community that once people reach a certain standard of living,Show more791111131K"
129,Jon@JonIsTheFuture·6hThe jewish agenda is to get rid of white people71482K42K
130,"Dee @DeeWaynee94·4hEurope isn’t “dying,” it’s evolving, fewer kids by choice, not collapse.
Low birth rate isn’t doom, it’s demographic transition.

You want more babies? Try affordable housing, work-life balance, and dignity, not panic-peddling like it’s 1930.54521K20K"
131,Akash Maniam@ManiamAkash·5hEurope needs to crush russian imperialism to have a peaceful future worth bringing kids into. Simple as that.1011024031K
132,Ada Lluch@ada_lluch·7hFive kids per couple should be the norm.1492544844K
133,"Brotherhood@DiggingInTheDi1·3hThe only known solution is not allowing women to work or pursue higher education

Neither you nor the mainstream masses are ready for that conversation yet26224297K"
134,"Junior 2nd@AbuSaeed1007·2hWanna fix the problem? 

Ban LGBT 

The status will change dramatically, you cannot have it both ways.26435.1K"
135,Xilonze@xilonze·7h73991.3K77K
136,Xilonze@xilonze·7h73991.3K77K
137,Xilonze@xilonze·7h73991.3K77K
138,Xilonze@xilonze·7h73991.3K77K
139,Xilonze@xilonze·7h73991.3K77K
140,Xilonze@xilonze·7h73991.3K77K
141,Xilonze@xilonze·7h73991.3K77K
142,Xilonze@xilonze·7h
143,Xilonze@xilonze·7h
144,Xilonze@xilonze·7h
145,Xilonze@xilonze·7h
146,Xilonze@xilonze·7h
147,"Alex@alex_avoigt·6hNo, it won't, in fact in 2024, the  European population saw even a slight increase, reaching an estimated 745 million, with a growth rate of around 0.4%

Also, it is well known and established fact in the science community that once people reach a certain standard of living,Show more791111131K"
148,"Alex@alex_avoigt·6hNo, it won't, in fact in 2024, the  European population saw even a slight increase, reaching an estimated 745 million, with a growth rate of around 0.4%

Also, it is well known and established fact in the science community that once people reach a certain standard of living,Show more791111131K"
149,"Alex@alex_avoigt·6hNo, it won't, in fact in 2024, the  European population saw even a slight increase, reaching an estimated 745 million, with a growth rate of around 0.4%

Also, it is well known and established fact in the science community that once people reach a certain standard of living,Show more791111131K"
150,"Alex@alex_avoigt·6hNo, it won't, in fact in 2024, the  European population saw even a slight increase, reaching an estimated 745 million, with a growth rate of around 0.4%

Also, it is well known and established fact in the science community that once people reach a certain standard of living,Show more791111131K"
151,"Alex@alex_avoigt·6hNo, it won't, in fact in 2024, the  European population saw even a slight increase, reaching an estimated 745 million, with a growth rate of around 0.4%

Also, it is well known and established fact in the science community that once people reach a certain standard of living,Show more791111131K"
152,"Alex@alex_avoigt·6hNo, it won't, in fact in 2024, the  European population saw even a slight increase, reaching an estimated 745 million, with a growth rate of around 0.4%

Also, it is well known and established fact in the science community that once people reach a certain standard of living,Show more791111131K"
153,"Alex@alex_avoigt·6hNo, it won't, in fact in 2024, the  European population saw even a slight increase, reaching an estimated 745 million, with a growth rate of around 0.4%

Also, it is well known and established fact in the science community that once people reach a certain standard of living,Show more791111131K"
154,"Alex@alex_avoigt·6hNo, it won't, in fact in 2024, the  European population saw even a slight increase, reaching an estimated 745 million, with a growth rate of around 0.4%

Also, it is well known and established fact in the science community that once people reach a certain standard of living,Show more791111131K"
155,"Alex@alex_avoigt·6hNo, it won't, in fact in 2024, the  European population saw even a slight increase, reaching an estimated 745 million, with a growth rate of around 0.4%

Also, it is well known and established fact in the science community that once people reach a certain standard of living,Show more791111131K"
156,"Alex@alex_avoigt·6hNo, it won't, in fact in 2024, the  European population saw even a slight increase, reaching an estimated 745 million, with a growth rate of around 0.4%

Also, it is well known and established fact in the science community that once people reach a certain standard of living,Show more791111131K"
157,"Alex@alex_avoigt·6hNo, it won't, in fact in 2024, the  European population saw even a slight increase, reaching an estimated 745 million, with a growth rate of around 0.4%

Also, it is well known and established fact in the science community that once people reach a certain standard of living,Show more791111131K"
158,"Alex@alex_avoigt·6hNo, it won't, in fact in 2024, the  European population saw even a slight increase, reaching an estimated 745 million, with a growth rate of around 0.4%

Also, it is well known and established fact in the science community that once people reach a certain standard of living,Show more791111131K"
159,"Alex@alex_avoigt·6hNo, it won't, in fact in 2024, the  European population saw even a slight increase, reaching an estimated 745 million, with a growth rate of around 0.4%

Also, it is well known and established fact in the science community that once people reach a certain standard of living,Show more791111131K"
160,"Alex@alex_avoigt·6hNo, it won't, in fact in 2024, the  European population saw even a slight increase, reaching an estimated 745 million, with a growth rate of around 0.4%

Also, it is well known and established fact in the science community that once people reach a certain standard of living,Show more791111131K"
161,Alex@alex_avoigt·6h
162,Alex@alex_avoigt·6h
163,Alex@alex_avoigt·6h
164,Alex@alex_avoigt·6h
165,Alex@alex_avoigt·6h
166,Alex@alex_avoigt·6h
167,Alex@alex_avoigt·6h
168,Alex@alex_avoigt·6h
169,Alex@alex_avoigt·6h
170,Alex@alex_avoigt·6h
171,Jon@JonIsTheFuture·6hThe jewish agenda is to get rid of white people71482K42K
172,Jon@JonIsTheFuture·6hThe jewish agenda is to get rid of white people71482K42K
173,Jon@JonIsTheFuture·6hThe jewish agenda is to get rid of white people71482K42K
174,Jon@JonIsTheFuture·6hThe jewish agenda is to get rid of white people71482K42K
175,Jon@JonIsTheFuture·6hThe jewish agenda is to get rid of white people71482K42K
176,Jon@JonIsTheFuture·6hThe jewish agenda is to get rid of white people71482K42K
177,Jon@JonIsTheFuture·6hThe jewish agenda is to get rid of white people71482K42K
178,Jon@JonIsTheFuture·6hThe jewish agenda is to get rid of white people71482K42K
179,Jon@JonIsTheFuture·6hThe jewish agenda is to get rid of white people71482K42K
180,Jon@JonIsTheFuture·6hThe jewish agenda is to get rid of white people71482K42K
181,Jon@JonIsTheFuture·6hThe jewish agenda is to get rid of white people71482K42K
182,Jon@JonIsTheFuture·6hThe jewish agenda is to get rid of white people71482K42K
183,Jon@JonIsTheFuture·6hThe jewish agenda is to get rid of white people71482K42K
184,Jon@JonIsTheFuture·6hThe jewish agenda is to get rid of white people71482K42K
185,Jon@JonIsTheFuture·6h
186,Jon@JonIsTheFuture·6h
187,Jon@JonIsTheFuture·6h
188,Jon@JonIsTheFuture·6h
189,Jon@JonIsTheFuture·6h
190,Jon@JonIsTheFuture·6h
191,Jon@JonIsTheFuture·6h
192,Jon@JonIsTheFuture·6h
193,Jon@JonIsTheFuture·6h
194,Jon@JonIsTheFuture·6h
195,"Dee @DeeWaynee94·4hEurope isn’t “dying,” it’s evolving, fewer kids by choice, not collapse.
Low birth rate isn’t doom, it’s demographic transition.

You want more babies? Try affordable housing, work-life balance, and dignity, not panic-peddling like it’s 1930.54521K20K"
196,"Dee @DeeWaynee94·4hEurope isn’t “dying,” it’s evolving, fewer kids by choice, not collapse.
Low birth rate isn’t doom, it’s demographic transition.

You want more babies? Try affordable housing, work-life balance, and dignity, not panic-peddling like it’s 1930.54521K20K"
197,"Dee @DeeWaynee94·4hEurope isn’t “dying,” it’s evolving, fewer kids by choice, not collapse.
Low birth rate isn’t doom, it’s demographic transition.

You want more babies? Try affordable housing, work-life balance, and dignity, not panic-peddling like it’s 1930.54521K20K"
198,"Dee @DeeWaynee94·4hEurope isn’t “dying,” it’s evolving, fewer kids by choice, not collapse.
Low birth rate isn’t doom, it’s demographic transition.

You want more babies? Try affordable housing, work-life balance, and dignity, not panic-peddling like it’s 1930.54521K20K"
199,"Dee @DeeWaynee94·4hEurope isn’t “dying,” it’s evolving, fewer kids by choice, not collapse.
Low birth rate isn’t doom, it’s demographic transition.

You want more babies? Try affordable housing, work-life balance, and dignity, not panic-peddling like it’s 1930.54521K20K"
200,"Dee @DeeWaynee94·4hEurope isn’t “dying,” it’s evolving, fewer kids by choice, not collapse.
Low birth rate isn’t doom, it’s demographic transition.

You want more babies? Try affordable housing, work-life balance, and dignity, not panic-peddling like it’s 1930.54521K20K"
201,"Dee @DeeWaynee94·4hEurope isn’t “dying,” it’s evolving, fewer kids by choice, not collapse.
Low birth rate isn’t doom, it’s demographic transition.

You want more babies? Try affordable housing, work-life balance, and dignity, not panic-peddling like it’s 1930.54521K20K"
202,"Dee @DeeWaynee94·4hEurope isn’t “dying,” it’s evolving, fewer kids by choice, not collapse.
Low birth rate isn’t doom, it’s demographic transition.

You want more babies? Try affordable housing, work-life balance, and dignity, not panic-peddling like it’s 1930.54521K20K"
203,"Dee @DeeWaynee94·4hEurope isn’t “dying,” it’s evolving, fewer kids by choice, not collapse.
Low birth rate isn’t doom, it’s demographic transition.

You want more babies? Try affordable housing, work-life balance, and dignity, not panic-peddling like it’s 1930.54521K20K"
204,"Dee @DeeWaynee94·4hEurope isn’t “dying,” it’s evolving, fewer kids by choice, not collapse.
Low birth rate isn’t doom, it’s demographic transition.

You want more babies? Try affordable housing, work-life balance, and dignity, not panic-peddling like it’s 1930.54521K20K"
205,"Dee @DeeWaynee94·4hEurope isn’t “dying,” it’s evolving, fewer kids by choice, not collapse.
Low birth rate isn’t doom, it’s demographic transition.

You want more babies? Try affordable housing, work-life balance, and dignity, not panic-peddling like it’s 1930.54521K20K"
206,"Dee @DeeWaynee94·4hEurope isn’t “dying,” it’s evolving, fewer kids by choice, not collapse.
Low birth rate isn’t doom, it’s demographic transition.

You want more babies? Try affordable housing, work-life balance, and dignity, not panic-peddling like it’s 1930.54521K20K"
207,"Dee @DeeWaynee94·4hEurope isn’t “dying,” it’s evolving, fewer kids by choice, not collapse.
Low birth rate isn’t doom, it’s demographic transition.

You want more babies? Try affordable housing, work-life balance, and dignity, not panic-peddling like it’s 1930.54521K20K"
208,"Dee @DeeWaynee94·4hEurope isn’t “dying,” it’s evolving, fewer kids by choice, not collapse.
Low birth rate isn’t doom, it’s demographic transition.

You want more babies? Try affordable housing, work-life balance, and dignity, not panic-peddling like it’s 1930.54521K20K"
209,Dee @DeeWaynee94·4h
210,Dee @DeeWaynee94·4h
211,Dee @DeeWaynee94·4h
212,Dee @DeeWaynee94·4h
213,Dee @DeeWaynee94·4h
214,Dee @DeeWaynee94·4h
215,Dee @DeeWaynee94·4h
216,Dee @DeeWaynee94·4h
